run_name,config,backbone,freeze_backbone,pretrained,train_fraction,condition,adapter,probe_comparable,arm,window,arm_n_fine_source
ls_biomedparseS_frz_pt_f025,configs/lowshot/ls_biomedparseS_frz_pt_f025.yaml,biomedparse,True,True,0.25,frz_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_pt_f100,configs/lowshot/ls_biomedparseS_frz_pt_f100.yaml,biomedparse,True,True,1.0,frz_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_sc_f001,configs/lowshot/ls_biomedparseS_frz_sc_f001.yaml,biomedparse,True,False,0.01,frz_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_sc_f005,configs/lowshot/ls_biomedparseS_frz_sc_f005.yaml,biomedparse,True,False,0.05,frz_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_sc_f010,configs/lowshot/ls_biomedparseS_frz_sc_f010.yaml,biomedparse,True,False,0.1,frz_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_sc_f025,configs/lowshot/ls_biomedparseS_frz_sc_f025.yaml,biomedparse,True,False,0.25,frz_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_sc_f100,configs/lowshot/ls_biomedparseS_frz_sc_f100.yaml,biomedparse,True,False,1.0,frz_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_pt_f001,configs/lowshot/ls_biomedparseS_ft_pt_f001.yaml,biomedparse,False,True,0.01,ft_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_pt_f005,configs/lowshot/ls_biomedparseS_ft_pt_f005.yaml,biomedparse,False,True,0.05,ft_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_pt_f010,configs/lowshot/ls_biomedparseS_ft_pt_f010.yaml,biomedparse,False,True,0.1,ft_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_pt_f025,configs/lowshot/ls_biomedparseS_ft_pt_f025.yaml,biomedparse,False,True,0.25,ft_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_pt_f100,configs/lowshot/ls_biomedparseS_ft_pt_f100.yaml,biomedparse,False,True,1.0,ft_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_sc_f001,configs/lowshot/ls_biomedparseS_ft_sc_f001.yaml,biomedparse,False,False,0.01,ft_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_sc_f005,configs/lowshot/ls_biomedparseS_ft_sc_f005.yaml,biomedparse,False,False,0.05,ft_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_sc_f010,configs/lowshot/ls_biomedparseS_ft_sc_f010.yaml,biomedparse,False,False,0.1,ft_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_sc_f025,configs/lowshot/ls_biomedparseS_ft_sc_f025.yaml,biomedparse,False,False,0.25,ft_sc,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_ft_sc_f100,configs/lowshot/ls_biomedparseS_ft_sc_f100.yaml,biomedparse,False,False,1.0,ft_sc,native+stem,False,S,native,fresh_stem_s0s1
